,manage_no,approval_date,business_state,detailed_state,phone_no,store_size,postal_code,address,road_address,road_addr_postal_code,name,updated_date,renewed_date,type,coords_X,coords_Y,longitude,latitude
119,3200000-102-2000-07826,20000222,영업/정상,영업,02  876 0155,96.58,151892,서울특별시 관악구 신림동 1431-12번지 ,"서울특별시 관악구 신림로 363, 지하1층 (신림동)",8760,비너스,2013-04-15 17:07:05,2018-08-31 23:59:59.0,룸살롱,193646.55170578,442708.432221592,126.92895148089238,37.486549842740445
120,3200000-102-2011-00006,20110908,영업/정상,영업,,47.79,151876,서울특별시 관악구 신림동 537-33번지 지상2층 ,"서울특별시 관악구 난곡로65길 2 (신림동,지상2층)",8767,유정노래광장,2018-10-17 13:29:46,2018-10-19 02:37:00.0,룸살롱,192323.471369036,442261.895149551,126.91399632737364,37.482516408310495
121,3200000-102-2011-00007,20110920,영업/정상,영업,02  583 3785,73.08,151800,서울특별시 관악구 남현동 1061-9 ,"서울특별시 관악구 남현1길 68-10, 지하1층 (남현동)",8807,파파,2021-07-15 09:15:37,2021-07-17 02:40:00.0,룸살롱,198257.694991475,441469.835847176,126.981091983355,37.47541058502077
122,3200000-102-1999-09243,19991220,영업/정상,영업,02 8574626,46.80,151080,"서울특별시 관악구 남현동 1061-9번지 ,10 ","서울특별시 관악구 남현1길 68-10 (남현동,,10)",8807,코코,2014-03-13 16:21:05,2018-08-31 23:59:59.0,룸살롱,198257.694991475,441469.835847176,126.981091983355,37.47541058502077
123,3200000-102-2011-00009,20111019,영업/정상,영업,,98.97,151930,서울특별시 관악구 신림동 1640-13번지 지상3층 ,"서울특별시 관악구 신림로 329 (신림동,지상3층)",8776,#(샵),2017-01-04 13:27:15,2018-08-31 23:59:59.0,비어(바)살롱,193688.002534384,442387.531613201,126.9294229366971,37.48365881379191
124,3200000-102-2012-00001,20120313,영업/정상,영업,02  888 6002,60.90,151892,서울특별시 관악구 신림동 1431-7 2층호,"서울특별시 관악구 신림로 365, 2층호 (신림동)",8760,옹달샘,2021-11-26 16:12:20,2021-11-28 02:40:00.0,룸살롱,193637.451330276,442741.110638087,126.92884829928036,37.4868442120908
125,3200000-102-2000-10523,20000628,영업/정상,영업,,67.20,151892,서울특별시 관악구 신림동 1431-18,"서울특별시 관악구 신림동1길 25-6, 1층 (신림동)",8760,372,2022-12-07 11:57:10,2021-11-02 00:09:00.0,룸살롱,193636.167519073,442688.22950769,126.92883424494973,37.48636774407898
126,3200000-102-2012-00006,20120608,영업/정상,영업,,68.12,151811,서울특별시 관악구 봉천동 861-4번지 ,서울특별시 관악구 관악로 183 (봉천동),8758,사루비아,2019-01-08 11:05:23,2019-01-10 02:40:00.0,룸살롱,195730.005651049,442166.023650187,126.95251194889188,37.48167485556771
127,3200000-102-2012-00008,20120810,영업/정상,영업,,32.25,151892,서울특별시 관악구 신림동 1431-4 ,"서울특별시 관악구 신림로 367, 3층 (신림동)",8760,홀인원 노래,2021-10-05 15:09:01,2021-10-07 02:40:00.0,룸살롱,193626.320182819,442773.071654397,126.92872216134626,37.487132103414616
128,3200000-102-1999-09579,19990803,영업/정상,영업,02  886 6177,94.84,151892,서울특별시 관악구 신림동 1431-41번지 ,서울특별시 관악구 신림동길 3 (신림동),8760,우주노래빠,2018-11-06 09:34:20,2018-11-08 02:37:00.0,룸살롱,193594.710355734,442792.293354418,126.92836458263704,37.48730507020901
129,3200000-102-1999-09526,19990819,영업/정상,영업,02 8898999,94.24,151015,"서울특별시 관악구 신림동 1431-4 ,5 ","서울특별시 관악구 신림로 367 (신림동,,5)",8760,엘레강스,2020-11-18 18:10:31,2020-11-20 02:40:00.0,룸살롱,193626.320182819,442773.071654397,126.92872216134626,37.487132103414616
130,3200000-102-1980-07823,19801024,영업/정상,영업,,93.30,151899,서울특별시 관악구 신림동 1568-1번지 ,"서울특별시 관악구 난곡로 302, 지하1층 (신림동)",8772,DJ(디제이)노래바,2019-12-20 16:30:47,2019-12-22 02:40:00.0,룸살롱,192403.860741324,442095.332266396,126.91490695961797,37.48101634541946
131,3200000-102-2004-00001,20040114,영업/정상,영업,02 8647280,67.69,151894,서울특별시 관악구 신림동 1474-27번지 지하1층 ,"서울특별시 관악구 난곡로63길 6, 지하1층 (신림동)",8771,써니노래바,2019-07-18 09:57:39,2019-07-20 02:40:00.0,카바레,192341.964494839,442114.145209749,126.91420696366076,37.4811853351643
132,3200000-102-2004-00002,20040310,영업/정상,영업,,95.72,151891,서울특별시 관악구 신림동 1425-17 ,"서울특별시 관악구 신림로 366, 지하1층 (신림동)",8753,블루문(Blue Moon),2021-10-17 12:41:32,2021-10-19 02:40:00.0,룸살롱,193677.989399073,442755.378931452,126.9293065345776,37.48697305044837
133,3200000-102-2004-00004,20040902,영업/정상,영업,02 8824417,"1,862.21",151890,서울특별시 관악구 신림동 1422-5 ,"서울특별시 관악구 신림로 340, 14,15층 (신림동)",8754,그랑프리,2021-11-22 13:53:58,2021-11-24 02:40:00.0,기타,193746.833837509,442510.775085572,126.93008704980696,37.48476964216752
134,3200000-102-2004-00005,20041030,영업/정상,영업,02 8838224,93.67,151892,서울특별시 관악구 신림동 1432-70 ,서울특별시 관악구 신림로 357 (신림동),8760,킹,2021-12-06 10:50:26,2021-12-08 02:40:00.0,룸살롱,193662.645671314,442668.044949837,126.92913380375415,37.48618606494736
