district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,A9011 1-1RZ 태양공원 (대학동 1542-1와 1542-2),37.4684,126.9366,1,1,2022.0,12.0,,서울,관악구,1542,9,,,서울 관악구 신림동 1542-9
관악구,A9012 1-GS 낙성대공원 관리사무소 (낙성대동 228),37.472,126.9597,1,1,2022.0,12.0,,서울,관악구,48,4,,,서울 관악구 봉천동 산 48-4
관악구,A9012 2-GS 낙성대공원 관리사무소 (낙성대동 228),37.4724,126.96,1,1,2022.0,12.0,,서울,관악구,25,,,,서울 관악구 봉천동 산 25
관악구,A9012 4-GS 낙성대공원 관리사무소 (낙성대동 228),37.4721,126.9592,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 3-GS 낙성대공원 관리사무소 (낙성대동 228),37.4726,126.9598,1,1,2022.0,12.0,,서울,관악구,225,,,,서울 관악구 봉천동 225
관악구,A9012 5-GS 낙성대공원 관리사무소 (낙성대동 228),37.472,126.9593,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 6-GS 낙성대공원 관리사무소 (낙성대동 228),37.4713,126.9586,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 7-GS 낙성대공원 관리사무소 (낙성대동 228),37.4712,126.9585,1,1,2022.0,12.0,,서울,관악구,244,1,,,서울 관악구 봉천동 244-1
관악구,A9012 8-GS 낙성대공원 관리사무소 (낙성대동 228),37.4712,126.9589,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 9-GS 낙성대공원 관리사무소 (낙성대동 228),37.4711,126.959,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 A-GS 낙성대공원 관리사무소 (낙성대동 228),37.4711,126.9601,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 C-GS 낙성대공원 관리사무소 (낙성대동 228),37.4708,126.9608,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 D-GS 낙성대공원 관리사무소 (낙성대동 228),37.4706,126.9613,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 E-GS 낙성대공원 관리사무소 (낙성대동 228),37.471,126.9614,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 B-GS 낙성대공원 관리사무소 (낙성대동 228),37.4709,126.9604,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 F-GS 낙성대공원 관리사무소 (낙성대동 228),37.4712,126.9609,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,A9012 G-GS 낙성대공원 관리사무소 (낙성대동 228),37.4709,126.9609,1,1,2022.0,12.0,,서울,관악구,228,,,,서울 관악구 봉천동 228
관악구,"A9027 1-1R [줌인반대] 산불감시(연주대,삼성동)",37.4424,126.9653,1,1,2022.0,12.0,,경기,과천시,85,1,,,경기 과천시 중앙동 85-1
관악구,"A9028 1-1R 산불감시(모자봉,대학동)",37.4524,126.9467,1,1,2022.0,12.0,,서울,관악구,56,2,,,서울 관악구 신림동 산 56-2
관악구,"A9030 1-1R 산불감시(서울대,대학동)",37.4669,126.9552,1,1,2022.0,12.0,,서울,관악구,56,1,,,서울 관악구 신림동 산 56-1
관악구,"A9029 1-1R 산불감시(삼성산,삼성동)",37.4503,126.9342,1,1,2022.0,12.0,,서울,관악구,56,2,,,서울 관악구 신림동 산 56-2
관악구,AA001 1-1R 장군봉소공원(서원동 94-252),37.4782,126.939,1,1,2022.0,12.0,,서울,관악구,94,251,,,서울 관악구 신림동 94-251
관악구,AA002 1-1RZ 상도근린공원#1(성현동 1712-6),37.4912,126.9536,1,1,2022.0,12.0,,서울,동작구,57,64,,,서울 동작구 상도동 산 57-64
관악구,AA003 1-2R 당곡어린이공원(보라매동 662-122),37.4887,126.9336,1,1,2022.0,12.0,,서울,관악구,662,122,,,서울 관악구 봉천동 662-122
관악구,AA003 2-2S 당곡어린이공원(보라매동 662-122),37.4888,126.9336,1,1,2022.0,12.0,,서울,관악구,662,122,,,서울 관악구 봉천동 662-122
관악구,AA004 1-1RLZ 고시자연공원(대학동 255-258),37.4641,126.9353,1,1,2022.0,12.0,,서울,관악구,255,258,,,서울 관악구 신림동 255-258
관악구,AA005 1-1RZ 대협어린이공원(미성동 746-32),37.4748,126.9134,1,1,2022.0,12.0,,서울,관악구,746,32,,,서울 관악구 신림동 746-32
관악구,AA008 1-1R 관악산둘레길광신고후문(난곡동 산87-14),37.4658,126.9238,1,1,2022.0,12.0,,서울,관악구,87,14,,,서울 관악구 신림동 산 87-14
관악구,AA006 1-1R 영락어린이공원 (청룡동 1555-16),37.4768,126.9438,1,1,2022.0,12.0,,서울,관악구,1555,16,,,서울 관악구 봉천동 1555-16
관악구,AA007 1-1R 인헌어린이공원(인헌동 196-240),37.4755,126.9625,1,1,2022.0,12.0,,서울,관악구,1709,11,,,서울 관악구 봉천동 1709-11
관악구,AA009 1-1RZ 선우공원#03(미성동 산117-13),37.4697,126.9126,1,1,2022.0,12.0,,서울,관악구,117,1,,,서울 관악구 신림동 산 117-1
